               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.030607,           0.0071903,           0.0086923,             0.69665,             0.35858,             0.33587,              0.1766,            0.031998,           0.0079752,            0.012408,           0.0048659,           0.0048659,           0.0048659
                 111,            0.028669,            0.007206,           0.0078317,             0.76355,              0.3278,             0.35551,             0.18787,            0.031638,           0.0079112,            0.010935,            0.004796,            0.004796,            0.004796
                 112,            0.027874,           0.0070771,           0.0065429,             0.74461,             0.34868,             0.35248,             0.19053,            0.032367,           0.0079215,            0.012992,           0.0047263,           0.0047263,           0.0047263
                 113,            0.030548,           0.0068988,           0.0079775,             0.69984,             0.35588,              0.3513,             0.19596,            0.031265,           0.0078697,            0.011868,           0.0046568,           0.0046568,           0.0046568
                 114,            0.028582,           0.0068241,           0.0073463,             0.71964,             0.35191,             0.34982,              0.1935,            0.030867,            0.007941,             0.01122,           0.0045875,           0.0045875,           0.0045875
                 115,            0.029045,           0.0069031,           0.0068883,             0.68438,             0.37161,              0.3549,             0.19935,            0.030331,           0.0078939,            0.010949,           0.0045184,           0.0045184,           0.0045184
                 116,            0.028409,           0.0071082,           0.0075996,             0.72061,             0.35635,             0.35829,             0.19028,             0.02973,           0.0078869,            0.011298,           0.0044495,           0.0044495,           0.0044495
                 117,            0.027044,           0.0073102,           0.0063559,             0.71774,             0.35371,             0.35826,             0.19601,            0.030182,           0.0078409,             0.01162,           0.0043809,           0.0043809,           0.0043809
                 118,            0.028072,           0.0070529,           0.0064203,             0.73553,             0.32069,             0.33951,             0.18022,            0.030574,           0.0079112,            0.011182,           0.0043126,           0.0043126,           0.0043126
                 119,            0.029001,           0.0066933,           0.0073191,             0.82385,             0.31784,             0.35725,             0.19686,            0.032109,           0.0077932,            0.010558,           0.0042445,           0.0042445,           0.0042445
                 120,            0.030014,           0.0070777,           0.0070522,             0.75056,             0.34305,             0.35806,             0.19568,            0.032432,           0.0078301,            0.010619,           0.0041768,           0.0041768,           0.0041768
                 121,            0.027622,           0.0070371,            0.006046,              0.7314,             0.34279,             0.34871,             0.19009,            0.030997,           0.0079292,            0.010895,           0.0041094,           0.0041094,           0.0041094
                 122,            0.028722,           0.0071327,            0.007316,             0.72856,             0.35122,             0.35829,             0.19163,            0.029734,           0.0078637,            0.011093,           0.0040424,           0.0040424,           0.0040424
                 123,            0.027781,           0.0071953,           0.0071402,             0.70108,             0.38173,             0.35949,             0.19501,            0.028874,            0.007818,            0.010608,           0.0039757,           0.0039757,           0.0039757
                 124,            0.028347,           0.0066529,           0.0070683,             0.75374,             0.35407,             0.35973,             0.19389,            0.029544,           0.0077943,            0.010236,           0.0039094,           0.0039094,           0.0039094
                 125,            0.027279,           0.0068216,           0.0061965,             0.71255,             0.37607,             0.35547,             0.19735,            0.029319,           0.0077414,            0.010814,           0.0038434,           0.0038434,           0.0038434
                 126,            0.026988,           0.0066084,           0.0061848,             0.76659,             0.34652,             0.36344,             0.19674,            0.031392,           0.0078622,             0.01099,           0.0037779,           0.0037779,           0.0037779
                 127,            0.026089,           0.0068733,           0.0055778,             0.78038,             0.35919,             0.37802,             0.21115,            0.031756,           0.0078441,            0.010823,           0.0037128,           0.0037128,           0.0037128
                 128,             0.02968,           0.0071424,           0.0070317,             0.69586,             0.39388,             0.37043,              0.2035,            0.029927,           0.0077687,            0.010054,           0.0036482,           0.0036482,           0.0036482
                 129,            0.026879,           0.0068746,           0.0060118,             0.72508,             0.36076,             0.35519,             0.20165,            0.032312,            0.007759,           0.0099707,            0.003584,            0.003584,            0.003584
                 130,            0.028312,           0.0067642,           0.0070595,             0.75784,             0.35973,             0.36934,             0.20051,            0.030637,           0.0077485,              0.0106,           0.0035203,           0.0035203,           0.0035203
                 131,            0.027477,           0.0067136,           0.0064526,             0.77298,             0.34639,             0.36601,             0.20133,            0.029727,            0.007724,            0.010154,            0.003457,            0.003457,            0.003457
                 132,            0.027163,           0.0069028,           0.0066887,             0.76713,             0.34622,             0.37315,             0.21169,             0.02906,           0.0076345,            0.011495,           0.0033943,           0.0033943,           0.0033943
                 133,            0.027057,           0.0070816,           0.0061928,             0.74284,             0.36122,             0.35987,              0.1934,            0.029596,           0.0077165,            0.010919,           0.0033321,           0.0033321,           0.0033321
                 134,            0.026771,           0.0066374,            0.005478,             0.75441,             0.36452,             0.36346,             0.19644,            0.029929,           0.0077478,           0.0099525,           0.0032704,           0.0032704,           0.0032704
                 135,            0.027879,            0.006903,           0.0069133,             0.75774,             0.36237,             0.36513,             0.19253,            0.029954,           0.0078559,           0.0095611,           0.0032093,           0.0032093,           0.0032093
                 136,            0.026304,           0.0071748,           0.0062183,             0.73181,             0.37358,             0.36835,             0.20375,            0.029922,           0.0077636,            0.011824,           0.0031488,           0.0031488,           0.0031488
                 137,            0.027083,           0.0068665,           0.0064975,             0.74365,             0.35064,             0.35871,             0.19875,            0.029274,           0.0077041,             0.01154,           0.0030888,           0.0030888,           0.0030888
                 138,            0.026998,           0.0069433,           0.0061554,             0.73404,             0.37663,             0.38088,             0.20837,            0.028551,           0.0077187,            0.011028,           0.0030294,           0.0030294,           0.0030294
                 139,            0.025994,           0.0068999,           0.0059633,             0.76285,              0.3768,             0.38113,             0.20837,            0.029085,           0.0076555,           0.0094689,           0.0029706,           0.0029706,           0.0029706
                 140,             0.02701,            0.006773,           0.0057377,             0.82082,             0.33891,             0.37249,             0.20441,            0.029159,           0.0076759,            0.010288,           0.0029125,           0.0029125,           0.0029125
                 141,            0.026391,           0.0067266,           0.0062189,              0.7095,             0.37431,             0.36562,             0.20747,             0.02869,           0.0076938,            0.012841,            0.002855,            0.002855,            0.002855
                 142,            0.026377,           0.0068191,           0.0062864,             0.71033,             0.38029,             0.37293,             0.20901,            0.029597,           0.0077049,            0.012067,           0.0027981,           0.0027981,           0.0027981
                 143,             0.02626,           0.0068135,            0.006541,             0.73298,             0.38903,             0.37857,             0.20752,            0.028046,           0.0076392,            0.010917,           0.0027419,           0.0027419,           0.0027419
                 144,            0.024793,            0.006931,           0.0059947,             0.75501,             0.37023,             0.38197,             0.21475,            0.028463,           0.0075457,            0.010685,           0.0026864,           0.0026864,           0.0026864
                 145,            0.025122,           0.0067661,           0.0056688,              0.7829,             0.34467,             0.36907,             0.20335,            0.029621,           0.0076851,             0.01024,           0.0026316,           0.0026316,           0.0026316
                 146,             0.02634,            0.006829,           0.0052854,             0.81045,             0.34062,             0.38148,             0.21564,            0.028161,           0.0076418,            0.010121,           0.0025775,           0.0025775,           0.0025775
                 147,            0.025765,           0.0066139,           0.0051534,             0.80413,             0.34912,              0.3718,             0.20641,            0.028454,           0.0076726,            0.011799,           0.0025241,           0.0025241,           0.0025241
                 148,            0.025363,           0.0066283,           0.0055616,             0.80565,             0.35921,             0.39122,             0.22286,            0.029737,           0.0075628,            0.010474,           0.0024714,           0.0024714,           0.0024714
                 149,            0.025035,            0.006835,           0.0058592,             0.77675,             0.37037,              0.3917,             0.21725,            0.028019,           0.0076144,           0.0095639,           0.0024195,           0.0024195,           0.0024195
                 150,            0.027851,            0.006332,           0.0059945,             0.76588,              0.3631,             0.38264,             0.21571,            0.028214,           0.0076394,            0.010378,           0.0023684,           0.0023684,           0.0023684
                 151,            0.025274,           0.0066427,           0.0049318,             0.81285,             0.35388,             0.39069,             0.21812,            0.029933,           0.0076417,            0.010416,            0.002318,            0.002318,            0.002318
                 152,            0.025232,           0.0066418,           0.0043448,             0.75441,             0.38985,             0.39742,             0.21944,            0.030502,            0.007643,            0.010269,           0.0022684,           0.0022684,           0.0022684
                 153,            0.025656,           0.0068802,           0.0052821,               0.756,             0.37589,             0.38902,             0.21604,            0.028898,           0.0076017,            0.010089,           0.0022196,           0.0022196,           0.0022196
